Random,Date,Cloud coverage,Visibility,Temperature,Dew point,Relative humidity,Wind speed,Station pressure,Altimeter,Solar energy,(Inverters)
0.363869019909868,4/18/2016,0.01,9.80,19.81,6.43,43.02,4.07,29.46,30.26,34518.00,
0.048593144520075,8/15/2016,0.99,6.24,22.40,22.25,96.56,8.27,29.21,30.00,4072.00,
0.65034339676992,12/27/2016,0.00,10.00,0.09,-2.71,79.03,9.65,29.39,30.18,14622.00,
0.787758601678693,7/13/2016,0.48,7.88,23.55,21.33,88.41,7.83,29.13,29.92,19714.00,
0.384669411292815,1/1/2017,0.11,9.77,-0.61,-3.64,79.56,5.37,29.30,30.09,19450.00,
0.108774264632821,2/22/2016,0.30,10.00,3.02,-0.82,74.53,7.42,29.34,30.13,26656.00,
0.258910653353049,7/31/2016,0.15,8.60,22.56,19.64,72.03,4.45,26.72,30.03,24400.00,
0.489960680862491,6/23/2017,0.51,9.23,23.32,18.60,76.60,8.20,28.97,29.76,7070.00,
0.5256125770474,5/11/2016,0.71,6.45,18.58,16.86,88.16,7.47,29.20,29.99,22130.00,
0.255081272711093,12/8/2016,0.05,9.72,-5.70,-9.01,21.98,16.87,8.64,30.38,5835.00,
0.934948226477057,10/24/2016,0.00,9.92,10.53,5.44,68.87,7.67,29.53,30.33,25668.00,
0.307708438229559,11/6/2016,0.01,9.68,11.14,7.08,74.67,2.61,29.54,30.34,25116.00,
0.800936653596058,9/1/2017,0.04,10.00,16.01,11.71,72.85,12.24,29.30,30.09,30971.00,
0.945114912812818,1/8/2017,0.27,10.00,-11.72,-15.36,70.44,7.52,29.83,30.63,15273.00,
0.425285217552808,2/5/2016,0.52,9.21,-2.00,-4.15,82.03,5.92,29.55,30.35,9517.00,
0.935503556444403,3/3/2017,0.27,10.00,-0.98,-6.96,63.26,6.47,29.75,30.56,34579.00,
0.276630633164802,4/11/2016,0.36,7.95,8.01,3.45,70.64,11.30,28.62,29.98,21961.00,
0.180284102277612,5/3/2016,0.63,9.99,13.18,6.65,63.51,8.77,29.12,29.91,27296.00,
0.281866722212161,8/12/2016,0.37,8.64,26.44,24.66,87.58,7.40,29.06,29.86,21130.00,
0.421430050634108,12/9/2016,0.08,9.81,-4.63,-8.23,22.22,8.90,8.84,30.54,7768.00,
0.804076199991998,6/11/2017,0.02,10.00,26.43,15.81,50.57,12.62,29.19,29.98,38147.00,
0.028967683986436,3/16/2016,0.35,9.90,11.34,3.08,58.68,19.38,28.99,29.78,33236.00,
0.329995452302557,3/27/2016,0.45,9.25,9.49,4.85,73.05,11.64,29.14,29.93,19152.00,
0.337010655560973,6/8/2016,0.00,10.00,18.82,8.65,53.39,3.63,29.21,30.00,37020.00,
0.621853334772768,7/1/2016,0.43,9.72,20.87,15.36,70.19,8.27,29.27,30.06,34032.00,
0.937350063005042,3/22/2016,0.00,9.92,12.43,3.27,53.06,16.94,29.01,29.80,29736.00,
0.603305651909289,9/3/2016,0.13,10.00,19.37,14.81,73.32,5.84,29.38,30.17,30192.00,
0.962702347015544,4/15/2017,0.24,10.00,21.66,13.48,58.95,14.80,29.22,30.01,33003.00,
0.290225022943149,2/25/2017,0.62,9.16,-1.90,-5.59,73.14,17.66,29.13,29.92,23598.00,
0.708543945404924,3/13/2016,1.00,5.84,14.04,13.66,96.34,7.19,28.95,29.74,6894.00,
0.016966048896625,7/31/2017,0.19,10.00,23.32,17.33,48.91,2.40,21.57,30.17,33291.00,
0.785476853149447,11/27/2016,0.76,5.17,3.87,3.14,91.84,12.10,29.20,29.99,4159.00,
0.762474151049941,9/19/2016,0.00,10.00,21.45,14.17,65.31,4.00,29.27,30.06,33103.00,
0.975499439837344,3/29/2016,0.00,9.57,8.12,1.11,62.76,6.75,29.44,30.24,37038.00,
0.87714357522719,10/27/2016,0.99,9.87,9.51,7.80,86.46,7.68,29.42,30.22,4090.00,
0.338239276909035,8/20/2017,0.17,9.98,24.96,21.14,77.63,3.77,29.24,30.03,16347.00,
0.071293975141314,6/28/2017,0.07,10.00,22.40,15.02,63.03,11.89,29.18,29.97,10550.00,
0.794405142731505,12/3/2016,0.69,9.96,1.23,-1.40,80.07,5.95,29.53,30.33,8894.00,
0.591000173518868,5/4/2017,0.80,8.48,8.14,7.10,90.65,20.16,29.05,29.84,5180.00,
0.203092365686314,4/17/2017,0.13,10.00,15.67,5.48,50.89,3.85,29.36,30.16,4010.00,
0.893755446086205,12/7/2016,0.18,9.96,-1.09,-4.71,21.89,10.85,8.59,30.16,13350.00,
0.737895983356141,6/26/2016,0.27,9.76,25.67,23.16,83.83,4.69,29.24,30.04,23801.00,
0.95530995413881,1/30/2017,0.10,9.99,-2.87,-5.23,74.08,10.22,27.13,29.88,16065.00,
0.250517836172113,8/4/2017,0.52,10.00,16.30,12.45,76.83,9.63,29.21,30.00,22924.00,
0.472523127669207,5/31/2017,0.07,10.00,19.40,7.34,41.70,9.02,21.47,30.02,40245.00,
0.136945491159829,4/26/2017,0.62,9.35,20.05,14.41,70.15,14.99,28.72,29.50,23390.00,
0.576514045211266,8/25/2017,0.00,9.85,18.00,11.74,67.37,6.50,29.42,30.22,32186.00,
0.659181008433785,4/25/2017,0.00,10.00,19.72,10.48,55.03,12.60,28.86,29.65,35268.00,
0.555702395498344,12/1/2016,0.99,10.00,2.93,0.04,79.06,12.09,29.16,29.95,4527.00,
0.400049899472933,1/15/2017,0.76,5.25,-0.02,-1.14,90.98,3.42,29.56,30.36,5795.00,
0.351619642917758,1/28/2017,0.86,9.79,-0.89,-3.04,83.23,11.92,29.04,29.83,10091.00,
0.604902321914813,6/7/2016,0.23,10.00,18.70,9.25,53.13,10.72,29.07,29.86,35506.00,
0.754114123507226,10/6/2016,0.36,9.31,22.34,17.43,73.58,4.80,29.28,30.07,17674.00,
0.324747454466949,10/10/2017,0.94,7.20,20.56,18.02,86.90,7.94,29.22,30.01,11687.00,
0.257528114041673,7/29/2017,0.08,10.00,19.82,14.54,67.13,8.87,29.30,30.09,37640.00,
0.242603652340242,10/13/2016,0.19,9.80,9.42,4.41,69.40,3.95,29.49,30.29,32558.00,
0.287128115992379,9/15/2017,0.09,9.13,22.33,16.68,71.49,5.17,29.23,30.02,30593.00,
0.47806322728552,12/11/2016,0.07,7.20,0.93,-0.91,24.02,11.36,9.12,29.94,1066.00,
0.076494403202134,7/20/2016,0.20,9.45,25.30,21.93,80.34,3.55,29.38,30.18,31376.00,
0.302508393786526,8/12/2017,0.21,10.00,19.41,14.59,69.85,6.87,29.27,30.06,35501.00,
0.424263797177073,9/3/2017,0.12,10.00,20.09,14.74,67.78,3.32,29.23,30.02,32237.00,
0.590459466711737,4/20/2017,0.37,10.00,19.68,13.59,48.13,16.24,22.26,29.93,8515.00,
0.824324726704463,5/22/2016,0.04,10.00,20.30,6.04,41.79,7.88,29.26,30.05,34855.00,
0.048658430747113,5/18/2016,0.39,10.00,13.68,5.56,57.10,6.56,29.39,30.19,28780.00,
0.849016291150743,11/23/2016,0.99,4.25,6.62,6.27,94.99,10.39,29.20,29.99,1028.00,
0.706206840310966,2/12/2016,0.62,9.21,-5.78,-10.00,69.76,12.42,29.46,30.26,8105.00,
0.109877118459372,10/31/2016,0.01,10.00,13.13,10.67,61.18,8.86,21.80,30.04,18050.00,
0.194080212676525,8/1/2016,0.13,8.29,23.33,20.47,81.64,5.53,29.24,30.06,26117.00,
0.939083575436584,2/17/2017,0.00,10.00,10.89,2.72,56.22,11.50,28.94,29.73,29973.00,
0.423153902439992,11/8/2016,0.68,8.59,11.38,10.11,88.28,6.55,29.42,30.22,2516.00,
0.624754121130786,2/20/2017,0.36,6.41,13.82,9.97,78.74,11.50,29.26,30.06,21287.00,
0.244722652395373,6/1/2016,0.63,9.67,22.27,19.43,80.97,3.32,29.17,29.96,18553.00,
0.970614753504812,6/8/2017,0.00,10.00,20.98,7.97,43.60,3.33,29.18,29.97,39044.00,
0.361420662815671,4/12/2017,0.00,9.80,11.92,4.70,62.68,3.68,29.54,30.34,36635.00,
0.057025927399382,7/21/2017,0.23,9.89,27.93,24.67,80.79,5.04,29.16,29.95,31601.00,
0.195908547018565,6/26/2017,0.29,9.84,16.25,10.36,68.43,8.86,29.34,30.13,9928.00,
0.371835380311492,2/13/2016,0.08,10.00,-10.12,-17.77,52.32,7.44,29.73,30.54,30358.00,
0.613302663816979,7/13/2017,0.45,9.53,25.84,23.70,84.49,5.10,29.24,30.03,19288.00,
0.251775785840871,4/22/2017,0.00,10.00,10.73,1.33,53.48,15.11,29.31,30.11,31051.00,
0.037691953251256,6/4/2016,0.67,8.75,19.72,18.13,87.55,6.41,29.05,29.84,8273.00,
0.574516828866174,8/26/2017,0.05,9.37,19.59,13.51,68.08,5.45,29.42,30.22,32036.00,
0.972881090523702,9/25/2016,0.36,7.85,23.81,19.08,75.68,6.79,29.24,30.03,21348.00,
0.79320606998282,2/14/2017,0.04,10.00,4.70,0.49,71.97,11.03,29.08,29.87,25617.00,
0.798788623392603,9/1/2016,0.18,10.00,19.25,14.45,71.82,10.72,29.35,30.14,31504.00,
0.858429812458413,4/23/2016,0.18,9.90,12.14,6.82,68.23,5.91,29.32,30.11,30854.00,
0.772374617580486,6/16/2016,0.36,9.99,24.18,19.12,72.40,10.58,29.07,29.86,37113.00,
0.865311200567431,8/19/2017,0.16,9.94,23.02,18.60,73.06,3.01,29.17,29.96,25978.00,
0.759740727995797,3/15/2016,0.56,7.16,15.69,12.90,82.21,13.93,28.83,29.62,29735.00,
0.352538029927986,12/20/2016,0.00,9.99,-5.33,-8.16,76.51,9.81,29.22,30.31,1602.00,
0.662811544445578,5/16/2017,0.01,9.96,24.20,15.59,57.71,15.29,29.05,29.84,37100.00,
0.961657385404604,5/2/2017,0.58,10.00,9.90,5.17,71.91,15.38,29.08,29.87,29112.00,
0.153395177252858,2/24/2017,0.54,9.96,12.55,9.57,79.69,18.77,28.75,29.54,13472.00,
0.730958170505066,6/19/2017,0.37,9.85,21.26,14.17,66.61,10.60,29.12,29.91,12760.00,
0.947457920692458,8/27/2016,0.52,9.95,24.95,22.93,85.51,4.38,29.29,30.08,26148.00,
0.271856109824057,3/21/2017,0.38,8.72,6.62,2.42,75.51,10.91,29.41,30.21,19671.00,
0.374330455493463,3/11/2016,0.00,8.94,8.02,5.16,80.66,7.09,29.50,30.30,26187.00,
0.360379294081845,9/21/2017,0.07,9.08,26.66,21.71,73.76,3.60,29.23,30.02,24996.00,
0.331769621710677,4/14/2017,0.50,9.78,19.03,13.21,71.58,8.63,29.34,30.14,26121.00,
0.552605308525363,9/30/2016,0.67,8.58,16.92,16.02,67.90,10.20,22.19,30.05,7162.00,
0.326703335234038,6/12/2017,0.13,10.00,28.17,19.35,57.68,9.13,29.19,29.98,35034.00,
0.947002628116138,6/11/2016,0.21,10.00,27.68,19.41,59.40,9.76,29.22,30.01,32494.00,
0.094611216392713,4/3/2017,0.92,9.44,14.09,12.01,82.24,11.20,28.02,29.51,8730.00,
0.142462810912801,9/16/2017,0.13,9.24,23.43,17.28,68.69,4.11,29.29,30.08,26555.00,
0.189597036750843,2/15/2016,0.94,3.86,-2.42,-2.68,94.02,6.43,29.09,29.88,7570.00,
0.195081473046507,11/3/2016,0.55,7.53,15.14,13.75,87.44,7.52,29.13,30.22,15279.00,
0.349609287729805,8/5/2016,0.32,9.48,24.38,22.12,83.66,5.33,29.13,29.92,23463.00,
0.528141158082946,4/23/2017,0.00,10.00,13.14,-1.30,37.86,9.40,29.27,30.06,39354.00,
0.233247810264002,12/19/2016,0.00,9.98,-12.98,-15.76,75.02,5.28,29.87,30.67,16648.00,
0.640016505977597,7/7/2016,0.41,7.99,23.29,21.43,86.75,7.39,29.05,29.85,24834.00,
0.016630362935396,1/29/2017,1.00,9.25,-2.61,-5.74,77.00,10.01,29.09,29.88,2373.00,
0.350584256018436,3/9/2017,0.25,10.00,6.09,-3.05,55.29,10.88,29.31,30.11,28306.00,
